,Week,Team,Opponent,LastYrTotalYdsDif,LastYrTotalPlaysDif,LastYrY/PDif,LastYrTODif,LastYr1stDsDif,LastYrPCmpDif,LastYrPAttDif,LastYrPYDsDif,LastYrPTDDif,LastYrPIntDif,LastYrPNY/ADif,LastYrPFDDif,LastYrRAttDif,LastYrRYDsDif,LastYrRTDsDif,LastYrRY/ADif,LastYrR1stDDif,LastYrPenDif,LastYrSc%Dif,LastYrTO%Dif,LastYrAvgPlyDif,LastYrAvgDrYdsDif,LastYrAvgDrPtsDif,MA3Off1stDDif,MA3OffTotYdsDif,MA3OffPYDSDif,MA3OffRYDSDif,MA3OffTOsDif,MA3Def1stDDif,MA3DefTotYdsDif,MA3DefPYDSDif,MA3DefRYDSDif,MA3DefTOsDif,score_diff
0,8,8,10,-542,-120,0.10000000000000053,-3,-55,-23,-21,-182,8,1,0.0,-8,-92,-360,-13,0.20000000000000018,-37,-28,-2.6999999999999957,-0.40000000000000036,-0.2999999999999998,-0.3000000000000007,-0.1299999999999999,14.0,201.99999999999997,182.33333333333331,19.66666666666667,-1.3333333333333333,-6.0,-103.33333333333334,-47.66666666666666,-55.66666666666667,3.6666666666666665,14
0,9,8,31,1059,28,0.9000000000000004,11,36,33,28,583,8,6,0.7999999999999998,34,13,476,-4,1.2000000000000002,11,-22,3.5,5.5,-0.09999999999999964,4.699999999999999,0.15999999999999992,9.333333333333334,77.0,144.0,-67.0,0.6666666666666667,-0.33333333333333215,26.666666666666657,-24.333333333333314,50.99999999999999,3.333333333333333,-17
0,12,8,18,478,21,0.2999999999999998,8,13,3,63,188,7,9,-0.2999999999999998,15,-33,290,-5,1.1000000000000005,4,2,-3.8999999999999986,3.0,-0.5,-0.6000000000000014,-0.15999999999999992,-11.000000000000002,-246.99999999999997,-197.33333333333331,-49.666666666666664,-0.6666666666666666,-6.333333333333334,-106.66666666666669,-79.0,-27.66666666666667,0.0,4
0,13,8,29,256,-20,0.2999999999999998,-1,24,-15,11,-224,1,3,-0.2999999999999998,8,-18,480,-1,1.5000000000000004,17,-26,1.0,1.0999999999999996,-0.09999999999999964,1.3000000000000007,0.030000000000000027,1.333333333333334,-16.0,-0.6666666666666572,-15.333333333333336,-1.0,-2.333333333333332,-70.33333333333331,9.999999999999986,-80.33333333333331,0.6666666666666666,-6
0,14,8,30,-742,-107,-0.20000000000000018,1,-97,-36,-27,-431,-1,3,-0.20000000000000018,-39,-58,-311,-12,-0.09999999999999964,-36,-16,-8.199999999999996,0.09999999999999964,-1.0999999999999996,-6.5000000000000036,-0.6000000000000001,8.333333333333334,153.00000000000003,121.66666666666667,31.333333333333343,0.0,3.666666666666668,27.333333333333314,18.333333333333343,9.0,-1.666666666666667,-7
0,15,8,11,-872,-82,-0.39999999999999947,10,-50,-19,21,-471,-3,6,-0.8999999999999995,-13,-99,-401,-10,0.20000000000000018,-32,-22,-13.699999999999996,4.800000000000001,-0.7999999999999998,-6.699999999999999,-0.75,2.333333333333332,12.0,1.6666666666666572,10.333333333333329,-0.33333333333333337,1.3333333333333321,0.3333333333333144,44.0,-43.66666666666666,0.0,21
0,19,8,13,412,1,0.40000000000000036,11,24,33,72,472,8,7,0.10000000000000053,26,-62,-60,-2,0.6000000000000005,-5,-29,-0.5,5.1,-0.5,-0.1999999999999993,0.030000000000000027,-0.3333333333333339,-32.66666666666666,6.0,-38.66666666666667,0.6666666666666667,-1.0,-7.0,11.666666666666686,-18.666666666666664,-0.3333333333333333,-7
0,2,9,26,-418,32,-0.6000000000000005,-11,-6,7,20,-145,1,-4,-0.5,-1,3,-273,4,-0.7000000000000002,-7,28,-1.5,-6.0,-0.09999999999999964,-3.700000000000003,0.0,3.0,76.0,116.0,-40.0,0.0,2.0,36.0,-29.0,65.0,-3.0,-2
0,4,9,11,-1383,-97,-0.7999999999999998,-3,-55,-27,-18,-717,-5,-4,-1.0999999999999996,-21,-97,-666,-4,-0.5,-41,23,-12.599999999999994,-2.0,-0.7999999999999998,-9.0,-0.6200000000000001,-3.333333333333334,-81.0,-103.33333333333334,22.333333333333336,-1.3333333333333333,3.666666666666668,35.666666666666686,65.00000000000003,-29.333333333333314,1.0000000000000002,24
0,5,9,31,548,13,0.5,-2,31,25,-11,337,6,-4,0.5999999999999996,26,15,211,2,0.5,2,23,4.600000000000001,-1.3000000000000007,-0.09999999999999964,2.3999999999999986,0.2899999999999998,-10.333333333333332,-153.66666666666669,-43.0,-110.66666666666667,0.33333333333333326,1.0,-115.33333333333337,-128.33333333333334,12.999999999999986,2.6666666666666665,-3
